(Área de Estudo: QUADRIMESTRAL - Estudo: 3º QUADRIMESTRE/2025 - Área de Carga: EC - Responsável: ONSCarga - Situação do Caso: Gerado Oficial  versão 01
DBAR
(Num)OETGb(   nome   )Gl( V)( A)( Pg)( Qg)( Qn)( Qm)(Bc  )( Pl)( Ql)(  Sh)Are(Vf)M(1)(2)(3)(4)(5)(6)(7)(8)(9)(10)
(006 MÉDIA DIA ÚTIL DEZ/2025 ajustado - Agente/Grupo: AC-ENERGISA AC - dez/2025 - Ajuste Hora: 18
 4321M                                                     49.7  9.4
 4322M                                                     24.0  2.0
 4324M                                                      2.7  0.1
 4327M                                                     11.9  2.1
 4328M                                                     29.7  7.1
 4329M                                                     15.8  7.6
 4335M                                                     28.5  3.6
 4336M                                                      5.7 -3.8
 4340M                                                     10.1  4.2
 4341M                                                     14.9  2.7
 4344M                                                      9.6 -2.9
 4345M                                                     39.8 -5.6
 4362M                                                     31.3 -2.7
